,Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Weather.Condition,Report.Status,Publication.Date
93,20020917X02538,Accident,NYC82FA021,1982-01-15,"JAMAICA, NY",United States,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N341PL,Swearingen,SA 226-TC,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,Pocono Airlines,0.0,1.0,2.0,Visual Meteorological Conditions,Probable Cause,1983-01-15
95,20020917X01625,Accident,ANC82DA015,1982-01-15,"NEAR NUIQSUT, AK",United States,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N1459T,De Havilland,DHC-2-MK3,No,1.0,Turbo Prop,Part 135: Air Taxi & Commuter,"Sea Airmotive, Inc.",0.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-01-15
96,20020917X02096,Accident,FTW82FA041,1982-01-16,"HOUMA, LA",United States,Unknown,Unknown,Fatal(1),Destroyed,Helicopter,N1081H,Bell Helicopter,206L-1,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,Offshore Logistics,1.0,2.0,0.0,Instrument Meteorological Conditions,Probable Cause,1983-01-16
101,20020917X02159,Accident,LAX82DA042,1982-01-17,"HONOLULU, HI",United States,Unknown,Unknown,Non-Fatal,Destroyed,Airplane,N21DR,Convair,440,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Island Airlines Hawaii Inc.,0.0,0.0,2.0,Visual Meteorological Conditions,Probable Cause,1983-01-17
129,20020917X02397,Accident,MIA82FA034,1982-01-19,"MIAMI, FL",United States,Unknown,Unknown,Non-Fatal,Substantial,Airplane,HCBHS,Canadair,CL-44D4,No,4.0,Turbo Prop,Part 129: Foreign,"Acroservicios Eduatorianos, C",0.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-01-19
130,20020917X01628,Accident,ANC82DA019,1982-01-19,"TUNTUTULIAK, AK",United States,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N4246T,Piper,PA-32,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Dennis L Gunder,0.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-01-19
139,20020917X02467,Accident,MKC82FA019,1982-01-21,"NORTH KANSAS CI, MO",United States,Unknown,Unknown,Fatal(1),Destroyed,Airplane,N4553Q,Cessna,402A,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,"Springdale Air Service, Inc.",1.0,0.0,0.0,Instrument Meteorological Conditions,Probable Cause,1983-01-21
145,20020917X01626,Accident,ANC82DA016,1982-01-21,"PORT GRAHAM, AK",United States,Unknown,Unknown,Non-Fatal,Destroyed,Airplane,N1729U,Cessna,207,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Cook Inlet Aviation,0.0,0.0,1.0,Visual Meteorological Conditions,Probable Cause,1983-01-21
155,20020917X01909,Accident,DCA82AA013,1982-01-23,"BOSTON, MA",United States,Unknown,Unknown,Fatal(2),Destroyed,Airplane,N113WA,Mcdonnell Douglas,DC-10-30,No,3.0,Turbo Fan,Part 121: Air Carrier,"World Airways, Inc.",2.0,4.0,24.0,Instrument Meteorological Conditions,Probable Cause,1983-01-23
177,20020917X01918,Accident,DEN82DA024,1982-01-26,"10MI. NW WALSEN, CO",United States,Unknown,Unknown,Non-Fatal,Substantial,Helicopter,N58214,Hughes,369D,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,Russell Lyon,0.0,0.0,2.0,Visual Meteorological Conditions,Probable Cause,1983-01-26
184,20020917X02325,Accident,LAX82FVM09,1982-01-28,"LOS GATOS, CA",United States,Unknown,Unknown,Fatal(1),Destroyed,Airplane,N32678,Piper,28-151,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,James Williams,1.0,0.0,0.0,Instrument Meteorological Conditions,Probable Cause,1983-01-28
204,20020917X02580,Accident,SEA82DA023,1982-01-30,"SINCLAIR ISLAND, WA",United States,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N53294,Cessna,172P,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,"West Isle Air, Inc.",0.0,0.0,0.0,Instrument Meteorological Conditions,Probable Cause,1983-01-30
214,20020917X02480,Accident,NYC82AA028,1982-02-01,"GROTON, CT",United States,Unknown,Unknown,Non-Fatal,Destroyed,Airplane,N451C,Beech,99,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,Pilgrim Airlines,0.0,5.0,2.0,Instrument Meteorological Conditions,Probable Cause,1983-01-02
222,20020917X01922,Accident,DEN82DA028,1982-02-01,"ROCK SPRINGS, WY",United States,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N8178F,Piper,PA-32,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Alpine Aviation,0.0,1.0,0.0,Instrument Meteorological Conditions,Probable Cause,1983-01-02
223,20020917X02539,Accident,NYC82FA029,1982-02-02,"NEWBURGH, NY",United States,Unknown,Unknown,Fatal(1),Destroyed,Airplane,N62481,Piper,PA-23-250,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,"Air Ventures, Inc.",1.0,0.0,0.0,Instrument Meteorological Conditions,Probable Cause,1983-02-02
230,20020917X01910,Accident,DCA82AA014,1982-02-03,"PHILADELPHIA, PA",United States,Unknown,Unknown,Non-Fatal,Minor,Airplane,N1814U,Mcdonnell-douglas,DC-10-10,No,3.0,Turbo Fan,Part 121: Air Carrier,United Airlines Inc.,0.0,1.0,0.0,Instrument Meteorological Conditions,Probable Cause,1983-03-02
239,20020917X01724,Accident,ATL82FA047,1982-02-05,"LAMBSBURG, VA",United States,Unknown,Unknown,Fatal(4),Destroyed,Airplane,N75225,Piper,PA-32R-300,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Air Security Transport Corpora,4.0,0.0,0.0,Instrument Meteorological Conditions,Probable Cause,1983-05-02
283,20020917X01627,Accident,ANC82DA018,1982-02-09,"FORT YUKON, AK",United States,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N8456Q,Cessna,185,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Wright Air Service,0.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-09-02
320,20020917X02336,Incident,LAX82IA075,1982-02-15,"ONTARIO, CA",United States,Unknown,Unknown,Incident,Minor,Airplane,N73717,Boeing,B737-2H4,No,2.0,Turbo Jet,Part 121: Air Carrier,Aircal,0.0,0.0,0.0,Instrument Meteorological Conditions,Probable Cause,1983-02-15
332,20020917X01800,Accident,CHI82DA050,1982-02-15,"EAST SAINT LOUI, IL",United States,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N7511L,Piper,PA-31-310,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Ira D. Farrington,0.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-02-15
336,20020917X01911,Accident,DCA82AA015,1982-02-16,"KING SALMON, AK",United States,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N169RV,Nihon,YS-11A,No,2.0,Turbo Prop,Part 121: Air Carrier,Reeve Aleutian,0.0,0.0,3.0,Visual Meteorological Conditions,Probable Cause,1983-02-16
345,20020917X01968,Accident,DEN82FA034,1982-02-17,"MITCHELL, SD",United States,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N5799Y,Piper,PA-23,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Four Lakes Aviation Corp,0.0,0.0,0.0,Instrument Meteorological Conditions,Probable Cause,1983-02-17
346,20020917X02630,Incident,SEA82IA029,1982-02-18,"BOISE, ID",United States,Unknown,Unknown,Incident,Minor,Airplane,N101RA,Embraer,EMB-11OP1,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,"Cascade Airways, Inc.",0.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-02-18
361,20020917X01885,Accident,CHI82FA059,1982-02-19,"OSHKOSH, WI",United States,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N6761H,Cessna,404,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Priester Aviation Service,0.0,0.0,0.0,Instrument Meteorological Conditions,Probable Cause,1983-02-19
377,20020917X01912,Accident,DCA82AA016,1982-02-21,"PROVIDENCE, RI",United States,Unknown,Unknown,Fatal(1),Destroyed,Airplane,N127PM,De Havilland,DHC-6,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,Pilgrim Airlines,1.0,10.0,1.0,Visual Meteorological Conditions,Probable Cause,1983-02-21
396,20020917X01817,Accident,CHI82DA068,1982-02-22,"CLEVELAND, OH",United States,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N8035J,Piper,PA-60,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Air Continental Incorporated,0.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-02-22
417,20020917X02112,Accident,FTW82FPA11,1982-02-25,"DALLAS, TX",United States,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N8517Z,Beech,D18S,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Jim Billingsley,0.0,0.0,0.0,Instrument Meteorological Conditions,Probable Cause,1983-02-25
419,20020917X01770,Incident,ATL82IA060,1982-02-26,"ATLANTA, GA",United States,Unknown,Unknown,Incident,Minor,Airplane,N10AY,Beech,B90,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,Hanger One,0.0,0.0,0.0,Instrument Meteorological Conditions,Probable Cause,1983-02-26
463,20020917X02025,Accident,FTW82DA075,1982-03-02,HIGH ISLAND BLK,HIGH ISLAND,Unknown,Unknown,Fatal(2),Destroyed,Helicopter,N63AL,Bell,206B,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,Air Logistics Inc.,2.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-02-03
469,20020917X02037,Accident,FTW82DA087,1982-03-03,"CROWNPOINT, NM",United States,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N55550,Piper,PA-32-300,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Window Rock Airways,0.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-03-03
477,20020917X01825,Accident,CHI82DA077,1982-03-04,"ELYRIA, OH",United States,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N9530Q,Smith Aerostar,600,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Air Continental Inc.,0.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-04-03
508,20020917X02308,Accident,LAX82FUQ10,1982-03-08,"CAPTINTERIA, CA",United States,Unknown,Unknown,Non-Fatal,Destroyed,Airplane,N7497J,Piper,PA-28R-180,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Cal Air Charter,0.0,1.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-08-03
514,20020917X01829,Accident,CHI82DA081,1982-03-08,"GRAND MARAIS, MN",United States,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N6625Y,Piper,PA-23 250,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Northern Airmotive Inc,0.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-08-03
515,20020917X01899,Incident,CHI82IA082,1982-03-09,"SOUTH BEND, IN",United States,Unknown,Unknown,Incident,Minor,Airplane,N323BA,Swearingen,SA-266TC,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,"Britt Airways, Inc",0.0,0.0,0.0,UNKNOWN,Probable Cause,1983-09-03
532,20020917X02572,Incident,NYC82IA051,1982-03-11,"FLUSHING, NY",United States,Unknown,Unknown,Incident,Minor,Airplane,N26210,Nord Aviation,262A-12,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,"Ransome Airlines, Inc",0.0,0.0,0.0,Instrument Meteorological Conditions,Probable Cause,1983-11-03
539,20020917X01716,Accident,ATL82DKW06A,1982-03-11,"NASHVILLE, TN",United States,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N5253J,Cessna,310,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Courier Service Inc.,0.0,0.0,0.0,Instrument Meteorological Conditions,Probable Cause,1983-11-03
552,20020917X02548,Accident,NYC82FFJ12,1982-03-12,"SYRACUSE, NY",United States,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N260BB,Piper,PA-32,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Professional Pilots Inc.,0.0,0.0,5.0,Instrument Meteorological Conditions,Probable Cause,1983-12-03
587,20020917X01647,Accident,ANC82DAG17,1982-03-15,"PAXSON, AK",United States,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N6978H,Cessna,185,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,W.t. Ellis,0.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-03-15
594,20020917X01937,Accident,DEN82DA046,1982-03-16,"MARBLE, CO",United States,Unknown,Unknown,Non-Fatal,Substantial,Helicopter,N2169X,Bell,206B,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,"Luebell Helicopters, Inc",0.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-03-16
607,20020917X02276,Accident,LAX82FA111,1982-03-18,"SUNFLOWER, AZ",United States,Unknown,Unknown,Fatal(5),Destroyed,Airplane,N499W,Cessna,401,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Air Security Transport Corp.,5.0,2.0,0.0,Instrument Meteorological Conditions,Probable Cause,1983-03-18
648,20020917X02278,Accident,LAX82FA117,1982-03-22,"NEAR BRIDEPORT, CA",United States,Unknown,Unknown,Non-Fatal,Destroyed,Helicopter,N9829C,Aerospatiale,SA316B,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,Mammoth Heli-ski Tioyabe Corp.,0.0,4.0,3.0,Visual Meteorological Conditions,Probable Cause,1983-03-22
677,20020917X01900,Incident,CHI82IA102,1982-03-25,"KALAMAZO, MI",United States,Unknown,Unknown,Incident,Minor,Airplane,N20HR,Beech,65-88,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Basler Airlines,0.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-03-25
693,20020917X02206,Accident,LAX82DA122,1982-03-26,"YUBA CITY, CA",United States,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N69646,Cessna,310Q,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Comet Airways Incorporated,0.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-03-26
719,20020917X01901,Incident,CHI82IA108,1982-03-30,"CHICAGO, IL",United States,Unknown,Unknown,Incident,Minor,Airplane,N62Z,Swearingen,SA226TC,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,"Britt Airways, Inc.",0.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-03-30
760,20020917X01903,Incident,CHI82IA113,1982-04-05,"WAUKEGAN, IL",United States,Unknown,Unknown,Incident,Minor,Airplane,N69341,Cessna,402B,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,"Superior Air Service, Inc.",0.0,0.0,0.0,Instrument Meteorological Conditions,Probable Cause,1983-05-04
796,20020917X01904,Incident,CHI82IA117,1982-04-09,"YOUNGSTOWN, OH",United States,Unknown,Unknown,Incident,Minor,Airplane,N7627U,Boeing,727-200,No,3.0,Turbo Fan,Part 121: Air Carrier,United Airlines,0.0,0.0,0.0,Instrument Meteorological Conditions,Probable Cause,1983-09-04
802,20020917X01642,Accident,ANC82DA033,1982-04-09,"NEAR NIGHTMUTE, AK",United States,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N9938M,Cessna,206,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Western Yukon Air,0.0,0.0,1.0,Instrument Meteorological Conditions,Probable Cause,1983-09-04
813,20020917X01654,Accident,ANC82FA036,1982-04-11,"NEAR TANANA, AK",United States,Unknown,Unknown,Fatal(3),Destroyed,Helicopter,N11058,Hughes,369D,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,"Tundra Copters, Inc.",3.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-11-04
821,20020917X01643,Accident,ANC82DA034,1982-04-11,"MONTAGUE ISLAND, AK",United States,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N28582,Piper,PA-32,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Harbor Air Service,0.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-11-04
890,20020917X01774,Incident,ATL82IA109,1982-04-18,"ASHEVILLE, NC",United States,Unknown,Unknown,Incident,Minor,Airplane,N95WA,Beech,BE-99,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,Wheeler Airlines,0.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-04-18
901,20020917X02079,Accident,FTW82DA139,1982-04-18,"AUSTIN, TX",United States,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N32717,Boeing,727-200,No,3.0,Turbo Fan,Part 121: Air Carrier,"Continental Airlines, Inc.",0.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-04-18
905,20020917X02608,Accident,SEA82DA055,1982-04-19,"DARRINGTON, WA",United States,Unknown,Unknown,Non-Fatal,Substantial,Helicopter,N9131F,Hughes,500C,No,1.0,Turbo Prop,Part 135: Air Taxi & Commuter,Anthony B. Reece,0.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-04-19
908,20020917X02421,Incident,MIA82IA102,1982-04-20,"MIAMI, FL",United States,Unknown,Unknown,Incident,Minor,Airplane,N333EA,Lockheed,L-1011,No,3.0,Turbo Fan,Part 121: Air Carrier,"Eastern Airlines, Inc.",0.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-04-20
926,20020917X02107,Accident,FTW82FA145,1982-04-22,"INTRACOASTAL CI, LA",United States,Unknown,Unknown,Fatal(2),Destroyed,Helicopter,N5752W,Bell,212,No,2.0,Turbo Shaft,Part 135: Air Taxi & Commuter,"Rotor-aids, Inc.",2.0,1.0,0.0,Instrument Meteorological Conditions,Probable Cause,1983-04-22
950,20020917X02228,Accident,LAX82DA147,1982-04-24,"GOLD STRIKE, NV",United States,Unknown,Unknown,Fatal(1),Minor,Helicopter,N5768Z,S.n.i.a.s.,AS350,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,"Bauer Helicopter, Inc",1.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-04-24
999,20020917X01976,Accident,DEN82FA074,1982-04-28,"HAKALAU, HI",United States,Unknown,Unknown,Fatal(2),Destroyed,Airplane,N6911,Beech,E18S,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,"Island Airlines Hawaii, Ltd.",2.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-04-28
1020,20020917X01644,Accident,ANC82DA038,1982-04-29,"NEW STUYAHOK, AK",United States,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N6274H,Cessna,207,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Richard K. Armstrong,0.0,0.0,2.0,Instrument Meteorological Conditions,Probable Cause,1983-04-29
1022,20020917X01775,Incident,ATL82IA121,1982-04-30,"ENTERPRISE, AL",United States,Unknown,Unknown,Incident,Minor,Airplane,N53RT,Piper,PA-31-350,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Huntsville Aviation,0.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-04-30
1099,20020917X03112,Accident,DEN82DA079,1982-05-06,"BISMARCK, ND",United States,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N4504Q,Cessna,402A,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Capital Aviation Corporation,0.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-06-05
1128,20020917X03114,Accident,DEN82DA081,1982-05-08,"MEDICINE BOW, WY",United States,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N6994C,Piper,PA-28R-200,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Gillis Aviation,0.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-08-05
1171,20020917X04016,Accident,NYC82FA091A,1982-05-12,"SANFORD, ME",United States,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N53442,Cessna,172P,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,New England Aviation,0.0,2.0,1.0,Visual Meteorological Conditions,Probable Cause,1983-12-05
1172,20020917X03894,Incident,MKC82IA079,1982-05-13,"ST. LOUIS, MO",United States,Unknown,Unknown,Incident,Minor,Airplane,N2233Q,Cessna,402B,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Trans Mo Airlines,0.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-05-13
1174,20020917X04154,Accident,SEA82FA070,1982-05-13,"6NM SSE WRANGEL, AK",United States,Unknown,Unknown,Non-Fatal,Substantial,Helicopter,N1107T,Hughes,369D,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,Ronald Gohmert,0.2873980054397099,0.30679298528522475,1.0,Visual Meteorological Conditions,Probable Cause,2011-09-12
1184,20020917X03256,Accident,FTW82DA175,1982-05-13,"PINEVILLE, LA",United States,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N36546,Piper,PA-32RT-300,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Modern Flying Serv. Inc.,0.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-05-13
1211,20020917X03259,Accident,FTW82DA178,1982-05-15,"CAMERON, LA",United States,Unknown,Unknown,Non-Fatal,Substantial,Helicopter,N2048X,Bell,206L-1,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,"Pumpkin Air, Inc.",0.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-05-15
1216,20020917X03101,Accident,DCA82AA022,1982-05-16,"HOOPER BAY, AK",United States,Unknown,Unknown,Non-Fatal,Destroyed,Airplane,N103AQ,De Havilland,DHC-6-200,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,Gifford Aviation,0.0,8.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-05-16
1250,20020917X03236,Incident,DEN82IA090,1982-05-18,"GILLETTE, WY",United States,Unknown,Unknown,Incident,Minor,Airplane,N114GA,Gulfstream American,G-159C,No,2.0,Turbo Prop,Part 121: Air Carrier,"U.s. Aviation, Inc./air U.s.,",0.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-05-18
1306,20020917X02891,Incident,ATL82IA139,1982-05-23,"CHARLOTTE, NC",United States,Unknown,Unknown,Incident,Minor,Airplane,N88694,Cessna,404,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Sunbird Airlines,0.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-05-23
1333,20020917X02930,Accident,CHI82DA183,1982-05-25,"HOLLAND, MI",United States,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N6187Q,Cessna,310R,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,"Business Aviation, Incorporati",0.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-05-25
1343,20020917X03653,Accident,LAX82FA195,1982-05-26,"SAN FRANCISCO, CA",United States,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N1833U,Douglas,DC10-10,No,3.0,Turbo Fan,Part 121: Air Carrier,United Airlines,0.0,0.0,25.0,Visual Meteorological Conditions,Probable Cause,1983-05-26
1359,20020917X02638,Accident,ANC82DA042,1982-05-27,"OUZINKIE, AK",United States,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N4877X,Cessna,U206,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Robert F. Stanford,0.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-05-27
